PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
1006,8,16.4,16.4,100,11.79,0,0,289.1,322.2,291.1
1000,59,16.6,16.6,100,12.02,145,5,289.8,323.6,291.8
993,119,17,16.9,99,12.34,151,6,290.7,325.7,292.9
971.7,305,17.4,14.8,85,10.99,170,11,292.9,324.4,294.9
970,320,17.4,14.6,84,10.88,172,11,293.1,324.3,295
942,571,15.8,14.9,94,11.43,200,13,293.9,326.8,295.9
937.7,610,15.9,14.3,90,11.03,205,13,294.4,326.2,296.3
928,698,16,12.9,82,10.17,213,15,295.4,324.9,297.2
925,726,15.8,12.7,82,10.07,215,15,295.5,324.7,297.2
904.7,914,14.7,12.1,84,9.86,215,19,296.2,324.9,297.9
900,958,14.4,11.9,85,9.81,215,20,296.3,324.9,298.1
888,1072,13.8,9.8,77,8.63,215,21,296.9,322.2,298.4
872.6,1219,12.6,9.4,81,8.53,215,23,297.1,322.1,298.6
850,1439,10.8,8.7,87,8.37,205,23,297.4,322.1,298.9
845,1488,10.4,8.6,89,8.36,204,23,297.5,322.2,299
817,1768,8.6,5.9,83,7.18,197,22,298.5,319.8,299.8
811,1829,8.1,5.7,85,7.15,195,22,298.6,319.9,299.9
781.5,2134,5.8,4.9,94,7,190,16,299.4,320.2,300.6
771,2245,5,4.6,97,6.94,194,20,299.6,320.4,300.9
753,2438,5,1.9,80,5.84,200,26,301.6,319.4,302.7
745,2526,5,0.6,73,5.39,204,25,302.6,319.1,303.5
739,2592,5.6,-9.4,33,2.55,208,23,303.9,312.1,304.4
733,2658,5.8,-12.2,26,2.06,211,22,304.8,311.5,305.2
730,2692,5.4,-10.6,31,2.35,212,22,304.8,312.3,305.2
725.5,2743,4.8,-3,57,4.26,215,21,304.7,318,305.5
725,2748,4.8,-2.2,60,4.51,215,21,304.7,318.8,305.5
721,2793,5,-4,52,3.96,217,21,305.4,317.9,306.1
717,2839,5,-3,56,4.3,218,21,305.9,319.4,306.7
706,2965,3.8,-0.3,75,5.33,223,22,305.9,322.5,306.9
700,3034,3.8,-6.2,48,3.45,225,22,306.7,317.7,307.3
698.8,3048,3.8,-7.4,44,3.15,225,20,306.8,316.9,307.4
698,3057,3.8,-8.2,41,2.97,225,20,306.9,316.4,307.5
687,3186,3.2,-4.8,56,3.92,224,21,307.6,320.1,308.4
682,3245,2.6,-2.4,70,4.73,223,22,307.6,322.5,308.5
647.8,3658,-0.9,-4.2,78,4.35,220,25,308.2,321.9,309
646,3681,-1.1,-4.3,79,4.33,220,25,308.2,321.9,309
624,3956,-2.1,-10.1,54,2.86,220,26,310.1,319.5,310.7
604,4214,-3.9,-12.9,50,2.36,220,28,311,318.8,311.4
600,4267,-3.9,-18.7,31,1.47,220,28,311.6,316.6,311.8
597,4306,-3.9,-22.9,21,1.02,223,28,312,315.6,312.2
580,4533,-4.5,-37.5,6,0.26,237,28,313.9,314.9,313.9
577.1,4572,-4.8,-37.7,6,0.26,240,28,314,315,314
554.8,4877,-7.1,-39.2,6,0.23,240,32,314.8,315.7,314.8
500,5680,-13.3,-43.3,6,0.17,245,41,316.8,317.4,316.8
473,6096,-16.3,-44,7,0.16,250,40,318.1,318.7,318.1
422,6949,-22.5,-45.5,10,0.16,250,50,320.7,321.3,320.8
418.5,7010,-23.1,-45.5,11,0.16,250,51,320.7,321.4,320.8
400,7340,-26.3,-45.3,15,0.17,245,51,320.7,321.4,320.8
399,7358,-26.3,-46.3,13,0.15,246,51,320.9,321.6,321
390,7523,-27.1,-59.1,3,0.03,252,47,322,322.1,322
