-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1006.0      8   16.4   16.4    100  11.79      0      0  289.1  322.2  291.1
 1000.0     59   16.6   16.6    100  12.02    145      5  289.8  323.6  291.8
  993.0    119   17.0   16.9     99  12.34    151      6  290.7  325.7  292.9
  971.7    305   17.4   14.8     85  10.99    170     11  292.9  324.4  294.9
  970.0    320   17.4   14.6     84  10.88    172     11  293.1  324.3  295.0
  942.0    571   15.8   14.9     94  11.43    200     13  293.9  326.8  295.9
  937.7    610   15.9   14.3     90  11.03    205     13  294.4  326.2  296.3
  928.0    698   16.0   12.9     82  10.17    213     15  295.4  324.9  297.2
  925.0    726   15.8   12.7     82  10.07    215     15  295.5  324.7  297.2
  904.7    914   14.7   12.1     84   9.86    215     19  296.2  324.9  297.9
  900.0    958   14.4   11.9     85   9.81    215     20  296.3  324.9  298.1
  888.0   1072   13.8    9.8     77   8.63    215     21  296.9  322.2  298.4
  872.6   1219   12.6    9.4     81   8.53    215     23  297.1  322.1  298.6
  850.0   1439   10.8    8.7     87   8.37    205     23  297.4  322.1  298.9
  845.0   1488   10.4    8.6     89   8.36    204     23  297.5  322.2  299.0
  817.0   1768    8.6    5.9     83   7.18    197     22  298.5  319.8  299.8
  811.0   1829    8.1    5.7     85   7.15    195     22  298.6  319.9  299.9
  781.5   2134    5.8    4.9     94   7.00    190     16  299.4  320.2  300.6
  771.0   2245    5.0    4.6     97   6.94    194     20  299.6  320.4  300.9
  753.0   2438    5.0    1.9     80   5.84    200     26  301.6  319.4  302.7
  745.0   2526    5.0    0.6     73   5.39    204     25  302.6  319.1  303.5
  739.0   2592    5.6   -9.4     33   2.55    208     23  303.9  312.1  304.4
  733.0   2658    5.8  -12.2     26   2.06    211     22  304.8  311.5  305.2
  730.0   2692    5.4  -10.6     31   2.35    212     22  304.8  312.3  305.2
  725.5   2743    4.8   -3.0     57   4.26    215     21  304.7  318.0  305.5
  725.0   2748    4.8   -2.2     60   4.51    215     21  304.7  318.8  305.5
  721.0   2793    5.0   -4.0     52   3.96    217     21  305.4  317.9  306.1
  717.0   2839    5.0   -3.0     56   4.30    218     21  305.9  319.4  306.7
  706.0   2965    3.8   -0.3     75   5.33    223     22  305.9  322.5  306.9
  700.0   3034    3.8   -6.2     48   3.45    225     22  306.7  317.7  307.3
  698.8   3048    3.8   -7.4     44   3.15    225     20  306.8  316.9  307.4
  698.0   3057    3.8   -8.2     41   2.97    225     20  306.9  316.4  307.5
  687.0   3186    3.2   -4.8     56   3.92    224     21  307.6  320.1  308.4
  682.0   3245    2.6   -2.4     70   4.73    223     22  307.6  322.5  308.5
  647.8   3658   -0.9   -4.2     78   4.35    220     25  308.2  321.9  309.0
  646.0   3681   -1.1   -4.3     79   4.33    220     25  308.2  321.9  309.0
  624.0   3956   -2.1  -10.1     54   2.86    220     26  310.1  319.5  310.7
  604.0   4214   -3.9  -12.9     50   2.36    220     28  311.0  318.8  311.4
  600.0   4267   -3.9  -18.7     31   1.47    220     28  311.6  316.6  311.8
  597.0   4306   -3.9  -22.9     21   1.02    223     28  312.0  315.6  312.2
  580.0   4533   -4.5  -37.5      6   0.26    237     28  313.9  314.9  313.9
  577.1   4572   -4.8  -37.7      6   0.26    240     28  314.0  315.0  314.0
  554.8   4877   -7.1  -39.2      6   0.23    240     32  314.8  315.7  314.8
  500.0   5680  -13.3  -43.3      6   0.17    245     41  316.8  317.4  316.8
  473.0   6096  -16.3  -44.0      7   0.16    250     40  318.1  318.7  318.1
  422.0   6949  -22.5  -45.5     10   0.16    250     50  320.7  321.3  320.8
  418.5   7010  -23.1  -45.5     11   0.16    250     51  320.7  321.4  320.8
  400.0   7340  -26.3  -45.3     15   0.17    245     51  320.7  321.4  320.8
  399.0   7358  -26.3  -46.3     13   0.15    246     51  320.9  321.6  321.0
  390.0   7523  -27.1  -59.1      3   0.03    252     47  322.0  322.1  322.0
  384.8   7620  -27.9  -59.0      3   0.03    255     45  322.3  322.4  322.3
  349.0   8316  -33.3  -58.3      6   0.04    251     64  324.0  324.2  324.0
  338.3   8534  -33.8  -58.8      6   0.04    250     70  326.3  326.5  326.3
  335.0   8604  -33.9  -58.9      6   0.04    251     70  327.0  327.2  327.0
  323.0   8859  -35.7  -55.7     11   0.06    253     69  327.9  328.2  328.0
  317.0   8989  -36.7  -49.7     25   0.13    254     69  328.3  328.9  328.3
  310.0   9144  -37.7  -54.2     16   0.08    255     68  329.0  329.4  329.1
  303.0   9302  -38.7  -58.7     10   0.05    255     69  329.8  330.0  329.8
  300.0   9370  -38.9  -49.9     30   0.13    255     69  330.4  331.0  330.4
  299.0   9393  -39.1  -47.1     42   0.18    255     69  330.5  331.2  330.5
  295.0   9484  -39.7  -46.7     47   0.19    254     70  330.9  331.7  330.9
  259.0  10356  -46.3  -53.3     45   0.10    250     80  333.7  334.1  333.7
  258.7  10363  -46.3  -53.8     42   0.10    250     80  333.8  334.2  333.8
  253.0  10511  -46.1  -64.1     11   0.03    247     85  336.2  336.4  336.2
  250.0  10590  -46.3  -67.3      7   0.02    245     87  337.1  337.2  337.1
  246.0  10697  -46.7  -69.7      6   0.01    247     91  338.1  338.1  338.1
  242.0  10806  -45.9  -71.9      4   0.01    248     94  340.8  340.9  340.9
  233.0  11059  -46.9  -73.9      3   0.01    252    102  343.0  343.1  343.0
  226.0  11262  -46.0  -75.9      2   0.01    255    109  347.4  347.5  347.5
  225.4  11278  -45.9  -76.0      2   0.01    255    109  347.8  347.8  347.8
  221.0  11411  -45.3  -77.3      2   0.00    254    108  350.7  350.8  350.7
  217.0  11533  -43.9  -77.9      1   0.00    253    107  354.7  354.8  354.7
  202.0  12014  -45.3  -80.3      1   0.00    250    103  359.9  359.9  359.9
  200.0  12080  -45.7  -80.7      1   0.00    250    102  360.2  360.3  360.2
  189.0  12455  -48.9  -82.9      1   0.00    253     93  361.0  361.0  361.0
  179.2  12802  -49.8  -83.8      1   0.00    255     85  365.0  365.0  365.0
  176.0  12922  -50.1  -84.1      1   0.00    255     85  366.4  366.4  366.4
  162.0  13459  -54.1  -87.1      1   0.00    255     87  368.5  368.5  368.5
  150.0  13950  -57.1  -89.1      1   0.00    255     88  371.5  371.5  371.5
  149.0  13992  -57.3  -89.3      1   0.00    255     88  371.9  371.9  371.9
  148.3  14021  -57.1  -89.1      1   0.00    255     88  372.7  372.7  372.7
  144.0  14208  -55.7  -87.7      1   0.00    246     89  378.3  378.3  378.3
  142.0  14297  -56.1  -88.1      1   0.00    241     89  379.1  379.1  379.1
  141.3  14326  -56.3  -88.2      1   0.00    240     89  379.2  379.2  379.2
  121.9  15240  -63.6  -91.9      1   0.00    245     83  382.2  382.2  382.2
  116.1  15545  -66.1  -93.1      1   0.00    250     82  383.1  383.1  383.1
  116.0  15548  -66.1  -93.1      1   0.00    250     82  383.1  383.2  383.1
  106.0  16091  -67.7  -91.7      2   0.00    256     62  390.1  390.1  390.1
  104.0  16205  -67.1  -91.1      2   0.00    257     58  393.4  393.4  393.4
  100.0  16440  -68.7  -91.7      2   0.00    260     49  394.7  394.7  394.7
   90.9  17008  -72.3  -93.3      3   0.00    280     36  398.5  398.5  398.5
   86.5  17301  -71.5  -91.5      4   0.00    277     31  405.8  405.8  405.8
   82.5  17581  -72.9  -92.9      4   0.00    273     27  408.5  408.5  408.5
   73.3  18288  -69.0  -90.5      3   0.00    265     16  430.8  430.8  430.8
   70.4  18526  -67.7  -89.7      3   0.00    252     18  438.5  438.5  438.5
   70.0  18560  -67.7  -89.7      3   0.00    250     18  439.2  439.2  439.2
   69.6  18593  -68.0  -89.9      3   0.00    245     23  439.3  439.3  439.3
   66.8  18839  -70.1  -91.1      3   0.00    257     32  439.9  439.9  439.9
   66.1  18898  -69.6  -91.0      3   0.00    260     34  442.3  442.3  442.3
   61.5  19334  -65.9  -89.9      2   0.00    289     24  459.8  459.8  459.8
   56.3  19870  -64.5  -90.5      2   0.00    324     12  474.7  474.7  474.7
   54.1  20112  -66.1  -92.1      2   0.00    340      7  476.4  476.5  476.4
   51.4  20422  -65.1  -91.9      1   0.00      0      0  485.8  485.8  485.8
   50.9  20482  -64.9  -91.9      1   0.00     57      3  487.6  487.6  487.6
   50.0  20590  -65.3  -92.3      1   0.00    160      8  489.2  489.2  489.2
