-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SPED   THTA   THTE   THTV
    hPa      m      C      C      %   g/kg    deg    m/s      K      K      K 
-----------------------------------------------------------------------------
 1000.0    -17                                                               
  998.0     10   21.4   17.1     76  12.39    230    7.7  294.7  330.4  296.9
  988.0     96   20.4   16.9     80  12.35    236    9.4  294.6  330.1  296.7
  971.0    244   19.2   16.9     87  12.57    246   12.2  294.8  331.0  297.0
  964.1    305   18.9   16.2     84  12.08    250   13.4  295.1  329.9  297.2
  938.0    537   17.6   13.4     76  10.36    261   16.9  296.1  326.2  298.0
  929.9    610   17.1   13.0     77  10.15    265   18.0  296.3  325.9  298.2
  925.0    655   16.8   12.7     77  10.03    265   18.0  296.5  325.7  298.3
  897.1    914   14.5   10.4     76   8.84    265   17.0  296.7  322.6  298.3
  879.0   1087   13.0    8.8     76   8.11    265   19.0  296.9  320.7  298.3
  865.3   1219   12.4    4.3     58   6.02    265   20.6  297.6  315.5  298.6
  862.0   1251   12.2    3.2     54   5.60    264   20.4  297.7  314.5  298.7
  858.0   1290   11.8    3.8     58   5.87    263   20.1  297.7  315.2  298.8
  853.0   1339   11.8   -1.2     40   4.11    261   19.8  298.2  310.7  298.9
  850.0   1368   11.4   -0.6     43   4.31    260   19.6  298.1  311.1  298.9
  831.0   1556   10.4   -3.6     37   3.53    260   21.7  299.0  309.8  299.6
  804.1   1829    8.2   -7.2     33   2.77    260   24.7  299.5  308.1  300.0
  794.0   1933    7.4   -8.6     31   2.52    262   25.4  299.7  307.6  300.1
  789.0   1985    6.8   -3.2     49   3.83    263   25.8  299.6  311.3  300.3
  775.0   2132    5.4    1.7     77   5.59    265   26.8  299.6  316.4  300.6
  774.8   2134    5.4    1.6     77   5.57    265   26.8  299.6  316.4  300.6
  774.0   2143    5.2    1.4     76   5.48    265   26.7  299.5  316.0  300.5
  769.0   2196    5.6   -4.4     49   3.59    263   26.6  300.5  311.6  301.1
  761.0   2281    4.8   -7.2     41   2.93    260   26.3  300.5  309.6  301.0
  754.0   2356    4.0   -4.0     56   3.78    258   26.0  300.4  312.1  301.1
  746.4   2438    3.5   -6.3     49   3.21    255   25.7  300.8  310.7  301.3
  733.0   2585    2.6  -10.4     38   2.37    253   24.3  301.3  308.8  301.8
  718.8   2743    1.5  -12.4     35   2.06    250   22.6  301.8  308.4  302.2
  700.0   2956    0.0  -15.0     31   1.71    235   24.7  302.5  308.0  302.8
  666.0   3353   -2.8  -19.4     27   1.24    225   23.2  303.6  307.7  303.9
  658.0   3449   -3.5  -20.5     25   1.14    230   23.3  303.9  307.7  304.1
  640.6   3658   -5.4  -22.2     25   1.01    240   23.7  304.0  307.4  304.2
  616.1   3962   -8.3  -24.6     25   0.85    245   25.7  304.2  307.1  304.4
  594.0   4247  -10.9  -26.9     26   0.71    245   29.6  304.3  306.8  304.5
  592.5   4267  -11.0  -27.3     25   0.69    245   29.9  304.5  306.8  304.6
  585.0   4364  -11.3  -29.3     21   0.58    248   34.8  305.2  307.2  305.3
  581.0   4417  -10.7  -36.7     10   0.28    250   37.5  306.5  307.5  306.5
  570.0   4565   -9.7  -51.7      2   0.06    255   44.9  309.3  309.6  309.4
  569.4   4572   -9.7  -51.7      2   0.06    255   45.3  309.4  309.6  309.4
  547.3   4877  -11.0  -52.5      2   0.05    255   47.4  311.5  311.7  311.5
  521.0   5255  -12.5  -53.5      2   0.05    252   53.4  314.0  314.2  314.0
  509.0   5434  -11.7  -53.7      2   0.05    250   56.3  317.1  317.3  317.1
  505.5   5486  -12.1  -53.7      2   0.05    250   57.1  317.2  317.5  317.3
  500.0   5570  -12.7  -53.7      2   0.05    250   56.6  317.5  317.7  317.5
  494.0   5662  -13.3  -54.3      2   0.05    250   56.6  317.9  318.1  317.9
  486.0   5786  -13.1  -55.1      2   0.04    250   56.6  319.6  319.8  319.6
  466.3   6096  -15.2  -56.9      1   0.04    250   56.6  320.8  320.9  320.8
  415.0   6970  -21.1  -62.1      1   0.02    242   53.5  324.1  324.1  324.1
  400.0   7240  -23.5  -62.5      1   0.02    240   52.5  324.4  324.5  324.4
  379.3   7620  -26.8  -63.6      2   0.02    245   51.0  324.9  325.0  324.9
  339.0   8424  -33.9  -65.9      2   0.02    242   46.7  325.9  326.0  325.9
  305.5   9144  -39.0  -68.5      3   0.01    240   42.7  328.6  328.6  328.6
  300.0   9270  -39.9  -68.9      3   0.01    230   44.3  329.0  329.1  329.0
  291.0   9477  -41.9  -68.9      4   0.01    228   48.2  329.0  329.1  329.0
  279.3   9754  -42.9  -67.9      5   0.01    225   53.5  331.5  331.6  331.5
  279.0   9761  -42.9  -67.9      5   0.01    225   53.5  331.6  331.7  331.6
  265.0  10108  -42.3  -68.3      4   0.01    234   53.5  337.4  337.4  337.4
  253.0  10420  -44.1  -69.1      5   0.01    243   53.5  339.2  339.3  339.2
  250.0  10500  -43.7  -69.7      4   0.01    245   53.5  341.0  341.0  341.0
  242.0  10719  -41.9  -73.9      2   0.01    248   55.7  346.8  346.9  346.8
  235.0  10918  -42.1  -75.3      1   0.01    250   57.7  349.5  349.5  349.5
  233.1  10973  -42.1  -75.6      1   0.01    250   57.7  350.2  350.3  350.2
